ID,DESCRIPTION,,ACTIVO,,
721,Optima-Acceso Sur,,1,,
220,S6-Aregua,,1,,
296,Stock-San Ignacio,,1,,
298,Stock-Limpio 2,,1,,
328,Stock-Feria Coronel Bogado,,1,,
335,El Bazar de S6,,1,,
240,Stock-Feria Hernandarias,,1,,
238,Stock-Unicompra,,1,,
241,S6-Ñemby,,1,,
205,Panaderia Centralizada - CDE,,1,,
606,Espana-Capiata,,1,,
290,Stock-Defensores Del Chaco,,1,,
704,Optima - Depósito de Canjes,,1,,
297,Stock-J.A. Saldivar,,1,,
299,Stock-Artigas,,1,,
,,,,15,
,,,Pag.,,7
